Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Tipo de dato;Periodo;Total
Total Nacional;;;Dato;2022M09;107,19
Total Nacional;;;Dato;2022M08;127,63
Total Nacional;;;Dato;2022M07;121,43
Total Nacional;;;Dato;2022M06;105,65
Total Nacional;;;Dato;2022M05;95,26
Total Nacional;;;Dato;2022M04;96,28
Total Nacional;;;Dato;2022M03;89,05
Total Nacional;;;Dato;2022M02;87,84
Total Nacional;;;Dato;2022M01;85,40
Total Nacional;;;Dato;2021M12;91,45
Total Nacional;;;Dato;2021M11;88,32
Total Nacional;;;Dato;2021M10;89,38
Total Nacional;;;Dato;2021M09;94,06
Total Nacional;;;Dato;2021M08;114,60
Total Nacional;;;Dato;2021M07;103,32
Total Nacional;;;Dato;2021M06;85,70
Total Nacional;;;Dato;2021M05;76,50
Total Nacional;;;Dato;2021M04;70,66
Total Nacional;;;Dato;2021M03;66,04
Total Nacional;;;Dato;2021M02;60,50
Total Nacional;;;Dato;2021M01;62,21
Total Nacional;;;Dato;2020M12;72,24
Total Nacional;;;Dato;2020M11;64,01
Total Nacional;;;Dato;2020M10;64,34
Total Nacional;;;Dato;2020M09;73,18
Total Nacional;;;Dato;2020M08;97,04
Total Nacional;;;Dato;2020M07;89,10
Total Nacional;;;Dato;2020M06;58,91
Total Nacional;;;Dato;2020M05;..
Total Nacional;;;Dato;2020M04;0,00
Total Nacional;;;Dato;2020M03;78,19
Total Nacional;;;Dato;2020M02;83,62
Total Nacional;;;Dato;2020M01;82,15
Total Nacional;;;Dato;2019M12;86,13
Total Nacional;;;Dato;2019M11;83,63
Total Nacional;;;Dato;2019M10;85,77
Total Nacional;;;Dato;2019M09;94,23
Total Nacional;;;Dato;2019M08;109,28
Total Nacional;;;Dato;2019M07;103,14
Total Nacional;;;Dato;2019M06;93,11
Total Nacional;;;Dato;2019M05;83,50
Total Nacional;;;Dato;2019M04;83,73
Total Nacional;;;Dato;2019M03;81,34
Total Nacional;;;Dato;2019M02;84,20
Total Nacional;;;Dato;2019M01;81,37
