Categoría: Nivel 1;Categoría: Nivel 2;Tipo de dato;Periodo;Total
Total categorías;;Dato;2022M09;78,90
Total categorías;;Dato;2022M08;101,58
Total categorías;;Dato;2022M07;89,90
Total categorías;;Dato;2022M06;74,22
Total categorías;;Dato;2022M05;60,91
Total categorías;;Dato;2022M04;59,56
Total categorías;;Dato;2022M03;50,12
Total categorías;;Dato;2022M02;45,62
Total categorías;;Dato;2022M01;33,67
Total categorías;;Dato;2021M12;41,86
Total categorías;;Dato;2021M11;48,34
Total categorías;;Dato;2021M10;53,35
Total categorías;;Dato;2021M09;55,80
Total categorías;;Dato;2021M08;77,60
Total categorías;;Dato;2021M07;57,40
Total categorías;;Dato;2021M06;36,63
Total categorías;;Dato;2021M05;26,36
Total categorías;;Dato;2021M04;19,25
Total categorías;;Dato;2021M03;17,25
Total categorías;;Dato;2021M02;13,79
Total categorías;;Dato;2021M01;12,26
Total categorías;;Dato;2020M12;16,09
Total categorías;;Dato;2020M11;13,76
Total categorías;;Dato;2020M10;16,25
Total categorías;;Dato;2020M09;22,39
Total categorías;;Dato;2020M08;44,11
Total categorías;;Dato;2020M07;34,02
Total categorías;;Dato;2020M06;13,61
Total categorías;;Dato;2020M05;..
Total categorías;;Dato;2020M04;0,00
Total categorías;;Dato;2020M03;29,91
Total categorías;;Dato;2020M02;49,37
Total categorías;;Dato;2020M01;44,60
Total categorías;;Dato;2019M12;46,55
Total categorías;;Dato;2019M11;50,22
Total categorías;;Dato;2019M10;56,81
Total categorías;;Dato;2019M09;71,78
Total categorías;;Dato;2019M08;86,87
Total categorías;;Dato;2019M07;76,97
Total categorías;;Dato;2019M06;67,95
Total categorías;;Dato;2019M05;54,97
Total categorías;;Dato;2019M04;53,78
Total categorías;;Dato;2019M03;50,38
Total categorías;;Dato;2019M02;49,49
Total categorías;;Dato;2019M01;43,30
